step,t_sec,agent_1_speed,agent_2_speed,agent_3_speed,agent_4_speed,agent_5_speed,agent_6_speed,agent_7_speed,agent_8_speed
1,0.05,0.527142,0.619547,0.914282,0.353288,0.095460,0.700016,0.385218,0.721903
2,0.1,0.797785,0.785470,0.701142,0.781639,0.842398,0.757626,0.733373,0.722390
3,0.15000000000000002,0.735954,0.743815,0.751934,0.677513,0.673792,0.735141,0.673861,0.732243
4,0.2,0.750449,0.740770,0.777301,0.694905,0.725924,0.743868,0.683398,0.699739
5,0.25,0.746513,0.762059,0.768160,0.663508,0.718532,0.735715,0.684736,0.715409
6,0.30000000000000004,0.746225,0.731480,0.760324,0.583169,0.717378,0.737497,0.680794,0.706556
7,0.35000000000000003,0.743040,0.737957,0.739107,0.482505,0.730587,0.737752,0.665774,0.712755
8,0.4,0.742242,0.734881,0.732808,0.125259,0.726690,0.771156,0.674106,0.721068
9,0.45,0.736585,0.734668,0.759163,0.014295,0.757050,0.737023,0.686330,0.707680
10,0.5,0.736335,0.735463,0.765174,0.041046,0.745347,0.747090,0.683913,0.712303
11,0.55,0.730057,0.735340,0.775582,0.139567,0.746706,0.749477,0.687131,0.713645
12,0.6000000000000001,0.754642,0.733816,0.769640,0.447337,0.742128,0.752857,0.690152,0.713430
13,0.65,0.748679,0.728497,0.767248,0.603810,0.691810,0.755413,0.690982,0.716081
14,0.7000000000000001,0.653403,0.711822,0.752583,0.732257,0.755519,0.745519,0.684658,0.717390
15,0.75,0.572139,0.713596,0.748797,0.743353,0.748962,0.718718,0.690656,0.721235
16,0.8,0.622317,0.711573,0.741464,0.751264,0.754049,0.728763,0.690706,0.724416
17,0.8500000000000001,0.432012,0.709598,0.737156,0.752961,0.756206,0.727715,0.695114,0.721910
18,0.9,0.431715,0.758101,0.850775,0.753657,0.762805,0.729812,0.696102,0.729593
19,0.9500000000000001,0.349400,0.745570,0.700705,0.732655,0.760887,0.731420,0.701018,0.729388
20,1.0,0.358948,0.751151,0.733109,0.723184,0.762101,0.733186,0.702214,0.733244
21,1.05,0.389285,0.750294,0.725290,0.727660,0.757215,0.734146,0.701886,0.754724
22,1.1,0.446547,0.752598,0.730931,0.727822,0.753615,0.733238,0.698763,0.750838
23,1.1500000000000001,0.497294,0.752741,0.731963,0.728523,0.750380,0.734616,0.701276,0.751057
24,1.2000000000000002,0.616889,0.739862,0.727879,0.729478,0.748246,0.734247,0.731269,0.749350
25,1.25,0.754612,0.759091,0.677544,0.735796,0.757786,0.730886,0.725364,0.720891
26,1.3,0.717858,0.757606,0.682965,0.739201,0.753150,0.728644,0.724630,0.728631
27,1.35,0.738345,0.757740,0.737743,0.734487,0.757799,0.729347,0.724176,0.756767
28,1.4000000000000001,0.730203,0.755861,0.726778,0.737236,0.758824,0.728987,0.720078,0.754192
29,1.4500000000000002,0.740573,0.704296,0.726017,0.740390,0.757757,0.728592,0.720201,0.755635
30,1.5,0.734533,0.714897,0.727881,0.697362,0.760449,0.725925,0.754603,0.757426
31,1.55,0.731544,0.717092,0.725738,0.708331,0.760016,0.808279,0.738152,0.754706
32,1.6,0.728295,0.717499,0.729005,0.735207,0.794447,0.668638,0.714732,0.736211
33,1.6500000000000001,0.748327,0.730182,0.727008,0.731137,0.348752,0.697873,0.715572,0.738280
34,1.7000000000000002,0.743666,0.732360,0.736075,0.733565,0.528698,0.697585,0.707492,0.736190
35,1.75,0.741572,0.734512,0.730552,0.735872,0.509124,0.698666,0.701093,0.736470
36,1.8,0.741646,0.724123,0.724561,0.737284,0.614943,0.728121,0.700806,0.752248
